id,name,is_public
157,Неудовлетворительное санитарное состояние в помещениях учреждения,1
158,Отсутствие справочной информации на информационных стендах учреждений,1
159,Неудовлетворительное санитарное состояние помещений учреждения,1
160,Отсутствие справочной информации на информационных стендах учреждений,1
161,Отсутствие справочной информации на информационных стендах учреждений,1
162,Неудовлетворительное санитарное состояние в помещениях учреждения,1
163,Неудовлетворительное санитарное состояние в помещениях учреждения,1
164,Отсутствие справочной информации на информационных стендах учреждений,1
165,"Незаконная торговля в вестибюлях, переходах станций метрополитена",1
167,"Провисающие, оборванные провода",1
168,Опора освещения повреждена или неисправна,1
169,Уличное освещение неисправно,1
170,"Неисправно освещение, фонарный столб поврежден",1
171,"Провисающие, оборванные провода",0
172,Скопление мусора,1
173,Несанкционированные надписи (граффити) в подземном переходе,0
174,Предложение по установке урны у остановочного павильона,1
175,Деревья и кустарники имеют неухоженный вид,1
176,Упавшее дерево,1
177,"Неудовлетворительное состояние колодца, люка",0
178,"Открыт колодец, люк на проезжей части, газоне",0
179,Неисправно освещение,1
180,Неочищенные урны,1
181,Лужи на твердом покрытии,1
182,Разукомплектованное грузовое транспортное средство,1
183,Реализация алкогольной продукции: в ночное время (с 22.00 до 11.00),1
184,"Реализация алкогольной продукции: без федеральных специальных марок, с признаками подделки, с нарушением правил продажи",1
185,Реализация алкогольной продукции несовершеннолетним,1
188,"Самовольное занятие земельного участка, незаконное размещение  нестационарного объекта на земельном участке, либо летнего кафе",0
189,Неудовлетворительное состояние парадной,1
190,Ненадлежащее состояние ограждений газонов,1
191,Предложение по установке ограждений газонов,1
192,Неудовлетворительное содержание газонов (нескошенная/неубранная трава),1
193,Неудовлетворительное содержание газонов (отсутствие травяного покрова),1
194,Мусор на газонах (железобетонные изделия),1
195,Мусор на газонах (крупногабаритные объекты),1
196,Неудовлетворительное содержание газонов (отсутствие травяного покрова),1
197,Неудовлетворительное содержание газонов (нескошенная/неубранная трава),1
198,Незаконное размещение информационной и (или) рекламной конструкции на территории Санкт-Петербурга,1
199,Неудовлетворительное состояние ледового покрытия на катке (отсутствует ледовое покрытие),1
200,"Провисающие, оборванные провода на опорах освещения",1
201,"Провисающие, оборванные провода на зданиях",1
202,"Самовольное занятие земельного участка, незаконное размещение  нестационарного объекта на земельном участке, либо летнего кафе, кроме гаражей / гаражных строений",1
203,Незаконное размещение гаражей/гаражных строений,0
204,Необходима прочистка ливневой канализации,1
205,"Конструкции, препятствующие парковке",1
206,"Несанкционированные надписи / объявления на дорожных ограждениях и остановочных павильонах, не оборудованных рекламной конструкцией",1
207,"Несанкционированные надписи /объявления на остановочных павильонах, совмещенных с рекламными конструкциями",1
208,"Несанкционированные надписи / объявления на технических средствах организации дорожного движения (светофоры, дорожные знаки)",1
209,Несанкционированные надписи /объявления на опорах освещения,1
210,Несанкционированные надписи / объявления на стенах дома,1
211,Неудовлетворительное состояние окраски фасада дома (кроме несанкционированных надписей / объявлений на стенах дома),1
212,Несанкционированные надписи /объявления в подземном переходе,1
213,Несанкционированные надписи/ объявления на отдельно стоящих рекламных конструкциях,0
214,Несанкционированные надписи/ объявления на отдельно стоящих объектах для размещения информации,0
215,"Несанкционированные надписи / объявления на сооружениях (в т.ч. заборах, гаражах, торговых павильонах)",1
216,"Неубранный снег, требуется обработка территории пескосоляной смесью",1
217,"Повреждение отопительного прибора (радиатора и др.), запорной арматуры (вентиль, кран) протечка трубопровода системы центрального отопления на лестничной площадке / подвале",1
218,Неисправность системы вентиляции,1
219,Засор канализации/протечка канализационной трубы,1
220,"Повреждение запорной арматуры (вентиль, кран), стояка центрального отопления",1
221,Розничная продажа алкогольной продукции без фиксации в ЕГАИС,1
222,"Отсутствие технической возможности записи к врачу в интернете (через портал «Государственные и муниципальные услуги (функции) в Санкт-Петербурге» и портал записи к врачу Комитета по здравоохранению"")",1
223,Отсутствие технической возможности записи к врачу по телефону «колл-центра»,1
224,Неработающий инфомат самозаписи к врачу,1
225,Отсутствие сестринского поста в стационарном лечебном учреждении,1
226,Отсутствие кабинета неотложной помощи в амбулаторно-поликлиническом учреждении,1
227,"Отсутствие бесплатных бахил в поликлинике для посещения кабинетов, где это предусмотрено санитарными правилами",1
