shop,name,lat,lon
supermarket,Пятёрочка,60.0264858,30.4123213
supermarket,Пятёрочка,60.2566768,29.5913169
supermarket,Лайм,59.8330681,30.3906819
supermarket,Пятёрочка,59.8284987,30.3980625
hairdresser,Ромашка,60.0242901,30.3961079
supermarket,Полушка,60.0219348,30.3924456
supermarket,Семишагофф,60.0244876,30.3952878
yes,ПТК,59.815021,30.3220263
supermarket,Пятëрочка,60.0071737,30.3520578
electronics,Калинка,59.9189574,30.4641346
supermarket,Перекрёсток,59.9192951,30.4646169
computer,Кей,59.9581985,30.3191797
supermarket,Всенародный,59.8120158,30.2904344
car_repair,,59.8523033,30.3639874
supermarket,Пятёрочка,59.8644028,30.3132817
clothes,Белорусский трикотаж,59.8646791,30.3193664
supermarket,Народная 7Я семьЯ,60.0278563,30.6354261
supermarket,Дикси,60.0281337,30.6292631
supermarket,Просто,60.0247171,30.632004
tyres,,59.9036647,30.2403547
supermarket,Дикси,59.9668869,30.3428667
doityourself,Архитектор красоты,59.9686866,30.3090759
bakery,Коржов,59.9615349,30.2920653
supermarket,Магнит,59.8637863,30.313397
supermarket,Народная 7Я семьЯ,59.852735,30.3139929
baby_goods,Здоровый малыш,59.8601935,30.389978
hardware,ВЕСТА Трейдинг,59.857731,30.3891021
beauty,Шарм,59.8577964,30.389349
mobile_phone,МегаФон,59.8584188,30.3918498
confectionery,Прогресс,59.8583735,30.3916393
hairdresser,В шоколаде,59.8554385,30.3787712
optician,Счастливый взгляд,59.8558236,30.3805962
electronics,,59.8582078,30.3869372
supermarket,Сгомонь,60.0100817,29.7177331
butcher,Мясной дворик,60.0099931,29.7180278
supermarket,Полушка,60.01037,29.7194193
dry_cleaning,,60.0100456,29.7174073
alcohol,Норман,60.0094616,29.7222077
supermarket,Пятёрочка,59.8562287,30.2234066
hairdresser,,59.9652432,30.2982048
hairdresser,Парикмахерская,59.8832376,30.4783584
clothes,"Одежда, Обувь, Сумки",59.8830466,30.477261
doityourself,Стройтовары,59.8828934,30.4768059
supermarket,Пятёрочка,59.8687791,30.31305
supermarket,Полушка,59.8543121,30.3875317
jewelry,Жемчуг,59.8538786,30.3686633
curtain,Декория,59.8555583,30.3727291
electronics,Liebherr,59.8554676,30.3720719
baby_goods,Дочки Сыночки,59.8560012,30.3756564
supermarket,Перекрёсток,59.8632595,30.4053549
supermarket,Пятёрочка,59.8527748,30.3820757
fabric,Модница,59.8526026,30.3821798
books,Буквоед,59.8493166,30.3887228
shoes,Франческо Донни,59.8503207,30.3926352
supermarket,Народная 7Я семьЯ,59.8495823,30.3256686
department_store,Московский,59.8467868,30.3209874
department_store,Московский,59.8468922,30.3224197
travel_agency,Нева,59.8490052,30.3247028
chemist,,59.8491339,30.3240576
door,Мир дверей,59.8491404,30.3282295
department_store,Московский,59.8449814,30.3207929
baby_goods,Дети,59.8447842,30.323223
mobile_phone,МТС,59.8497857,30.3209632
jewelry,Адамас,59.8505318,30.3208799
boutique,Kiss Fashion,59.8502686,30.3209211
clothes,Дикая орхидея,59.8504281,30.3209637
convenience,,59.8453216,30.3181663
clothes,Кенгуру,59.8511557,30.3205967
clothes,Леди Шарм,59.8523748,30.320481
optician,Счастливый взгляд,59.8536733,30.3205309
sports,FineRide,59.8536869,30.3266507
hardware,Крепёж,59.853708,30.3279067
